identifier,legacy_identifier,name,birthplace,nationality,gender,locations - invasion,locations - internments,locations - liberation - date,locations - liberation - location,locations - liberation - by,date,recording location,recording languages,recording duration,recording spools,audio - file,audo - mime-type,"credits - who, role",commentary - text,commentary - attribution
abraham-kimmelmann,kimmelmannA,Abraham Kimmelmann,"Dąbrowa Górnicza, Poland",Poland,male,unknown,"Sosnowiec Ghetto, Markstadt, Fünfteichen, Gross-Rosen, Buchenwald",unknown,"","",1946-08-27,"Genève, Switzerland",German,03:33:15.507,"9-83B, 9-84, 9-85B, 9-86, 9-87, 9-88, 9-91, 9-92",kimmelmannA_9-83B_9-84_9-85B_9-86_9-87_9-91_9-92_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Although large numbers of Jews lived in the Polish district of Eastern Upper Silesia, the Holocaust there (except of course for Auschwitz itself) is comparatively unknown. It had been part of Germany before 1918, and the Nazis reincorporated it into the Reich in 1939. Its 100,000 Jews, spread over more than forty Jewish communities, were then placed under the administration of a single Central Jewish Council. The Germans appointed Moshe (or Monek) Merin to head it. An active Zionist before the war, Merin organized Jewish police units to enforce the occupiers’ demands, hoping to save at least a portion of his Jews by making them indispensable to the German war effort. Hence he maintained strict order and organized work in the ghettos, rounded up the unemployed for shipment to various camps, and violently suppressed all overt forms of Jewish resistance. Against this background, Abraham Kimmelmann sketches an unforgettable story of desperate Jewish measures to stay alive and avoid deportation to labor and extermination camps in 1942 and early 1943.<sup>1</sup> He also takes us inside the smaller slave labor camps in Eastern Upper Silesia and documents the transition from army to SS control.</p><p>Kimmelmann’s hometown was Dąbrowa Górnicza, a factory center near Katowice just east of the 1939 Polish-German border and about thirty-five miles north of Auschwitz. It was home to about 5,000 Jews. His Hasidic family sent him to a private heder, but his education was cut short by the German invasion. Too young at eleven to be included in the early deportations of Jews to slave labor in Germany, he soon learned the metal trade to help maintain his family and keep it from being sent away from their home together with other “unproductive” Jews. Ultimately he could not avoid being transported to Markstadt labor camp and then to Fünfteichen, both satellites of concentration camp Gross-Rosen, where Krupp was expanding its huge Bertha Works. During the last months of the war he was taken to the main camp for a short time and to Buchenwald, where he was liberated in April 1945.</p><p>Kimmelmann is haunted by treatment of Jews by their fellow Jews during the Holocaust. Whether as Jewish Council members, Jewish police in the ghetto, or as block seniors at Markstadt, Jews strike him as more vicious and corrupt than some Germans. He occasionally loses sight of the directing Nazi hand behind every action. But Abraham is also thoughtful about the temptations placed before these individuals, wondering what he himself would have done in their position and whether their actions, too, were only human. What is more, he subsequently witnessed the still worse conditions that prevailed in concentration camps where the SS ruled more directly and the prisoner administration was largely non-Jewish.</p><p>A the time of his interview in Geneva in August 1946 the eighteen-year-old Kimmelmann was enrolled in a training program for mechanics sponsored by the ORT.</p><p class=”footnote”>1. A version of this interview appears in Boder’s <em>I Did Not Interview the Dead</em>, under the pseudonym “Abe Mohnblum.”</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
abraham-schrameck,schrameckA,Abraham Schrameck,"Saint-Étienne, France",France,male,"","",unknown,"","",1946-08-21,"Paris, France","French, English",00:26:00.660,9-55,schrameckA_9-55_SLP.mp3,audio/mp3,"Deborah Joyce, Transcription, Deborah Joyce, English Translation, Elliot Lefkovitz, Footnotes","<p>Abraham Schramack had a distinguished career as a governmental administrator and political figure during the French Third Republic, which lasted from 1871-1940. Among the positions he held were secretary general of the prefecture of Marseille, member of the Senate, the upper chamber of the Third Republic’s National Assembly, and minister of the interior, in which capacity he was head of the national police. Due to his pre-war prominence and despite his advanced age (he was in his seventies at the time of the Occupation), he found himself in peril especially after the German takeover of the Vichy-government-controlled zone of France (the so-called “free zone”) on November 11, 1942. Mr. Schramack survived with the help of friends and acquaintances and his own pluck and good fortune. He died on October 19, 1948 in Marseille, a little over two years after the interview was conducted.</p><p>This interview is part of a group of interviews with the eminent Kahn family and their chauffeur taken in Paris on August 21, 1946 during an evening at the home of Admiral Louis Kahn. The interviews were conducted in the following order: Abraham Schramack (Mrs. Kahn’s father), Jean Kahn (the family’s younger son) Anne Marcelle Kahn, and her husband, Admiral Kahn. These are followed by an interview with the family’s chauffeur, Charles Jean, who during the German occupation was in the French resistance. The Kahns were among the approximately 150,000 French Jews who had deep roots in France. (Another 200,000 Jews in France during the Holocaust were more recent immigrants.) Despite their long-standing residence in France, the Kahn family lived a precarious existence during the Occupation. Due to his service in the French navy, Admiral Kahn was separated from his family at the start of the war and was not in France during the war years.</p>",Elliot Lefkovitz
adam-krakowski,krakowskiA,Adam Krakowski,"Łódź, Poland",Poland,male,unknown,"Roznów, Budzyń, Rzeszów, Plaszow, Wieliczka, Flossenbürg, Colmar, Sachsenhausen, Braunschweig, Ravensbrück",1945-05-01,"Mecklenburg region, Germany",United States,1946-07-30,"Paris, France",German,00:35:32.062,9-5,krakowskiA_9-5_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation, Elliot Lefkovitz, Footnotes","<p>Adam Krakowski was born in 1925 in the city of Łódź, Poland. Łódź was at that time the center of the Polish textile industry, and Krawkowski’s father worked in a textiles stores. He and the remainder of Krakowski’s immediate family—his mother, brother and sister—perished in the Belzec extermination camp. Not long after the German occupation of Łódź, Krakowski, along with a number of young able bodied Jewish males, was deported and spent nearly all of the war years in German slave labor camps. He was transferred from one camp to another until his liberation by American troops on May 1, 1945.</p><p>As a slave laborer, he encountered cruel and trying conditions and endured great suffering. His survival is owed in part to the pressing German need for slave labor, especially as the war progressed. There was an ongoing conflict in the Nazi hierarchy between those who wanted to destroy all Jews and those who wanted to preserve some Jews for labor. Unfortunately the former most often prevailed. Nevertheless, Krakowski was among the minority who did survive despite the obsessive, lethal Nazi ideological imperative to destroy European Jewry.</p><p>After his liberation, Krakowski, like so many of his fellow Jews, returned to his birthplace to see if any of his family had survived. His search was in vain. He then made his way to Paris where he had a physician brother who had lived there since before the war. At the time of his interview, Krakowski had decided to remain in Paris and rebuild his life. With the help of ORT, he was studying radio technology.</p>",Elliot Lefkovitz
admiral-louis-lazar-kahn,kahnL,Admiral Louis Lazar Kahn,"Versailles, France",France,male,"","",unknown,"","",1946-08-21,"Paris, France","French, English",00:19:55.755,9-57C,kahnL_9-57C_SLP.mp3,audio/mp3,"Deborah Joyce, Transcription, Deborah Joyce, English Translation, Elliot Lefkovitz, Footnotes","<p>Boder’s interview with Admiral Louis Kahn centers in large part on the Kahn’s opinions as to the reasons for France’s sudden and devastating defeat in 1940 and his views on post-war refugee rehabilitation. Unfortunately, he provides little information on his war time experiences, such as his escape across the Pyrenees to join the Free French forces of General De Gaulle, or details of his service with those forces.</p><p>This interview is part of a group of interviews with the eminent Kahn family and their chauffeur taken in Paris on August 21, 1946 during an evening at the home of Admiral Louis Kahn. The interviews were conducted in the following order: Abraham Schramack (Mrs. Kahn’s father), Jean Kahn (the family’s younger son) Anne Marcelle Kahn, and her husband, Admiral Kahn. These are followed by an interview with the family’s chauffeur, Charles Jean, who during the German occupation was in the French resistance. The Kahns were among the approximately 150,000 French Jews who had deep roots in France. (Another 200,000 Jews in France during the Holocaust were more recent immigrants.) Despite their long-standing residence in France, the Kahn family lived a precarious existence during the Occupation. Due to his service in the French navy, Admiral Kahn was separated from his family at the start of the war and was not in France during the war years.</p>",Elliot Lefkovitz
adolph-heisler,heislerA,Adolph Heisler,"Chynadiyovo, Czechoslovakia",Czechoslovakia,male,unknown,"Mukachevo Ghetto, Auschwitz, Birkenau, Buchenwald, Trawniki, Ohrdruf",unknown,"Weimar, Germany",United States,1946-08-27,"Genève, Switzerland",German,00:39:34.347,9-81,heislerA_9-81_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Adolph Heisler was born in Czynadowo, Czechoslovakia, to parents who owned a large farm and ran a lumber business. In 1939, when the boy was twelve, Hitler arranged the transfer of that part of Transcarpathian Ukraine to Hungary. That transfer meant that instead of being deported with the majority of Slovakian Jews in 1942, Heisler, his mother, and two brothers were ghettoized and sent to Poland only after the Germans occupied Hungary two years later. Heisler recalls Germans taking these actions, but Hungarian officials were most likely the major participants in the whole procedure. They certainly made the decision to keep his father behind in one of Hungary’s notorious labor battalions for adult Jewish males. Adolph’s father was not among the few survivors of those units.</p><p>At Auschwitz Adolph and one of his brothers were separated from the rest of their family and sent to the Jawiszowice coal mine, which supplied the factories in Auschwitz. He spent eight months there. This and other coal mines in the region were infamous for their hellish conditions, but Heisler recalls Jawiszowice as being less unbearable than the camps he experienced later in Germany. He mentions that his block senior protected him, without providing many details. He was evacuated with the rest of the Auschwitz contingent in early January 1945. Taken on foot and by train to Buchenwald and then on to a satellite camp near Nordhausen, he fell ill and could not join the death march to escape the approaching American army. Miraculously, at the last minute the Germans supplied trucks to evacuate at least some of the sick to Buchenwald. His inclusion probably saved his life, since a very large proportion of those marched out of Ohrdruf did not have the strength to finish the journey, and those left behind at Ohrdruf were massacred by the SS. At Buchenwald Heisler unhesitatingly attached himself to the young people’s barracks which was liberated by the Americans a short time later. In his description of the events, he provides another variation on the story about the commandant’s tardy telephone call so dear to the memory of the survivors.</p><p>For reasons that can no longer be determined, Heisler volunteered little about his personal life either before or after the Holocaust, and Boder made no effort to draw him out on the subject during the interview in Geneva.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
alexander-gertner,gertnerA,Alexander Gertner,"Maramures Province, Romania",Romania,male,"Oradea, Romania","Oradea Ghetto, Birkenau, Auschwitz, Gross-Rosen, Bolkenhain, Hirschberg, Waldheim, Buchenwald",1945-04-11,"Weimar, Germany",United States,1946-08-26,"Genève, Switzerland",Yiddish,01:51:38.240,"9-77, 9-78, 9-79",gertnerA_9-77_9-78_9-79_SLP.mp3,audio/mp3,"David P. Boder, English Translation",none,none
alfonsas-paulis,paulisA,Alfonsas Paulis,unknown,Lithuania,male,"","Pravieniskes, Natzweiler-Struthof, Dachau",1945-04-05,"Dachau, Germany",United States,1946-09-21,"München, Germany","Lithuanian, Russian, German",00:14:43.278,9-144B,paulisA_9-144B_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), L. Paulauskaite, Transcription (Lithuanian), , Transcription (Russian), S. PetersP. Gaensicke, English Translation (German), L. Paulauskaite, English Translation (Lithuanian), , English Translation (Russian)",none,none
andrius-suvalkaitis,suvalkaitisA,Andrius Suvalkaitis,"VilkaviÅkis, Lithuania",Lithuania,male,"Kaunas, Lithuania","",unknown,"Berlin, Germany",United States,1946-09-21,"München, Germany","German, Lithuanian, Russian",00:16:46.367,9-143A,suvalkaitisA_9-143A_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), L. Paulauskaite, Transcription (Lithuanian), , Transcription (Russian), S. PetersP. Gaensicke, English Translation (German), L. Paulauskaite, English Translation (Lithuanian), , English Translation (Russian)",none,none
anna-braun,braunA,Anna Braun,"Zaporozhye, Ukraine",Russia,female,unknown,Neustadt,unknown,"Heilenbach, Germany",United States,1946-09-20,"München, Germany",German,01:08:31.934,"9-133, 9-134",braunA_9-133_9-134_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, Translation, Elliot Lefkovitz, Footnotes","<p>Boder’s interview with Anna Braun represents a departure from those with other survivors. Mrs. Braun was a Mennonite whose family was victimized by the Stalinist Soviet Union, especially during the 1930s. The Mennonites are a Protestant group whose members first began to settle in the Ukraine, where the Braun family resided, in the late 18th century. They believe their lives should be guided by Christ’s teachings in the Holy Bible and by the Holy Spirit. They call for a strict separation between church and state and advocate the extension of biblical teachings into social and economic life. In so doing, they reject military service and holding public office, strive for congregational and communal autonomy, and embrace an ethic of love and devotion to the Divine. These and other teachings were anathema to the atheistic, totalitarian Stalinist regime, which sought to inculcate the Soviet population with communist ideas and ideals. Therefore, the Mennonites communities living in the Ukrainian Soviet Socialist Republic underwent repression and persecution. Then, following the invasion of the Soviet Union by Nazi Germany on June 22, 1941, Mrs. Braun and her family endured the vicissitudes of a brutal war which cost millions of lives.</p><p>Mrs. Braun was born in 1906 in the Zaporozhye district of the Ukraine. Her native language was German, and Boder conducted the 1946 interview with her in this language. At the time of the interview, she was accompanied by her twenty year old stepdaughter and ten year old daughter. The original Braun family included Anna’s parents and her brother and two sisters. Her father owned a steam-powered flour mill in the town of Tartiza. During the 1918-1921 civil war following the 1917 communist revolution, Mrs. Braun’s father was killed. The 1930s brought difficult times to the Mennonites of the USSR, and by the mid 1930s all Mennonite churches had been closed by the regime. Mrs. Braun’s brother was arrested in 1935 for seeking permission to hold church services. He died in prison two years later. Her husband was arrested in 1936 on false charges. After six months of imprisonment, he was sentenced to death and never heard from again. In 1938, at the height of the Stalinist Great Terror during which some 800,000 people were executed, Mrs. Braun’s stepfather was arrested, imprisoned and was also never again heard from. Many other Mennonite families suffered similar losses, and the spiritual leadership of the Mennonite communities was decimated.</p><p>Mrs. Braun survived the Great Terror and, when Nazi Germany invaded the Soviet Union on June 22, 1941, was working as a technical draftswoman. By the late summer of 1941, the Germans had captured the area of the Ukraine in which Mrs. Braun resided, and she and her family lived for two years under German rule. The Germans allowed the reopening of Mennonite churches, but Mrs. Braun was appalled by the genocidal policies of the Nazis towards Jews and deeply offended by the sacrilegious nature of the “Heil Hitler” salute.</p><p>As the Red army approached the Zaporozhye region, Mrs. Braun and her children were deported for forced labor in Germany in the fall of 1943. The Brauns arrived first in Lvov (now L’viv) in western Ukraine, and ended up in a camp in Neustadt located on the Baltic near the city of Danzig (now Gdansk). Mrs. Braun continued to work as a technical draftswoman and received some financial compensation for her labors. As the front approached in the winter of 1944-’45, she and her daughter and stepdaughter were again deported, this time to Czechoslovakia. After about four months, there was a final evacuation in the direction of Munich, but some sixty miles from there, the Brauns were liberated by American forces.</p><p>After first being interned in a displaced persons camp in Heilenbach, Bavaria, they finally made their way to the Funkkaserne displaced persons camp in Munich after receiving word that relatives of theirs were there along with several hundred other Mennonites. From this camp, they intended to immigrate to British Columbia in Canada where brothers of Mrs. Braun’s husband lived along with other Mennonites. The Brauns were much more fortunate than thousands of other Mennonites who were forcibly repatriated to the Soviet Union. Upon their return, many were arrested and exiled to Siberia.</p><p>Mrs. Braun’s story is a reminder of the strength and resilience displayed by Mennonite women in the predominantly female-led families of the group during and immediately after the war. It is also a reminder of the cruelty and suffering inflicted upon its people by the Stalinist Soviet Union, which, like its Nazi totalitarian counterpart, debased and destroyed countless millions of human beings. The Stalinist terroristic state transformed peaceful citizens into “enemies of the people,” perverted the judicial system and brought about untold numbers of family tragedies and losses such as those endured by Mrs. Braun.</p>",Elliot Lefkovitz
anna-kaletska,kaletskaA,Anna Kaletska,unknown,Poland,female,"Kielce, Poland","Grodno Ghetto, Auschwitz, Lippstadt",1945-04-01,"Kaunitz, Germany",United States,1946-09-26,"Wiesbaden, Germany",Yiddish,00:58:13.224,"9-164B, 9-165, 9-166",kaletskaA_9-164B_9-165_9-166_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>The Jews of eastern Poland were under Soviet rule for the first twenty-one months of the war and hence were spared Nazi persecution until Hitler turned eastward in June 1941. Anna Kaletska never made it clear where in Poland she and her husband lived before the war, although it is probable that it was in or near his parents’ hometown of Grodno in the northeast part of the country.<sup>1</sup> Evidently he was in the Polish army, and she was visiting her hometown of Kielce when the Germans attacked in 1939. Shortly after Poland surrendered, she made the 300-kilometer trip from Kielce to Grodno in the Soviet zone; such travel was still possible in the weeks immediately following the capitulation. In Grodno she was reunited with her husband, and there they experienced the second German onslaught in 1941.</p><p>Grodno sits on the ethnic border between Poland and Belorussia in an area of mixed languages and cultures. It had been part of Poland from 1919 to 1939 and then of the USSR until 1941, when the Germans annexed it to their province of East Prussia. At the beginning of November 1941 its 25,000 Jews were herded into two ghettos, one for able workers in the synagogue quarter and the other for “nonproductive” Jews in the suburb of Slobodka. Shortly after the birth of their daughter, Anna and her husband managed to slip from Slobodka to the central ghetto and then to escape deportation, but someone denounced them to the Germans as they attempted to reach the partisans in the forest. They were separated, and Anna never saw her husband again. After surviving slave labor at Auschwitz and in Germany, she learned the tragic fate of her only child.</p><p>Kaletska’s interview is striking for what it says about Gentile willingness to help Jews in Grodno and its surrounding area. A woman she scarcely knew took in her baby and raised it as her own. Complete strangers gave her and her husband shelter as they fled the city. And yet, various other Gentiles turned them over to the Germans and later identified her baby as Jewish. One could never know. Although Anna probably could have passed as a Pole once she escaped from the Grodno ghetto, and had Gentile friends to boot, ties to her family and her community brought her back even when she had grounds to fear the worst from the Germans. Once in German hands, she was virtually forced to take on an “Aryan” identity, and actually did so for a while. But this time despair and perhaps even the wish to die compelled her to reassert her Jewishness. The long-term prospects of “passing” successfully were not good, but in Anna’s case the will to try was all but absent.</p><p>At Auschwitz Anna had the supreme good fortune of being assigned to a block run by a Polish political prisoner, probably arrested for resistance activity, who knew how to please the SS while helping her charges. The woman probably saved Anna’s life. While Anna was in Auschwitz the famous Sonderkommando revolt of October 7,1944, occurred. Her vivid recollection of the rising is mistaken in several respects. Just one SS man was burned alive, and two more were killed in the ensuing struggle, along with 450 prisoners. Nor did any of the inmates escape. What is significant is the iconographic quality of Anna’s telling of the event. The very fact that Jews had at last turned on their tormentors took on dimensions in the minds of the victims that can scarcely be imagined today.</p><p>Kaletska was thirty-four years old when she was interviewed on the afternoon of September 26,1946, in the rehabilitated synagogue of Wiesbaden, Germany. Described by Boder as “a woman of fair complexion with naturally light hair,” it is understandable that she could, and for a time did, pass as a Gentile, although the idea was not always her own. During the interview she frequently fell into episodes of sobbing that obscured parts of her story. Boder observed: “These paroxysms were obviously nurtured by depressing memory associations, justifiable self-pity before a sympathetic listener, and a sense of ‘guilt’ at having survived. It might be said that Mrs. Kovitzka feels as if her own redemption from the fate which befell her near and dear ones and her concentration camp associates was a betrayal of the bonds of love and solidarity.”</p><p class=”footnote”>1.This interview appears in Boder’s <em>I Did Not Interview the Dead</em>, under her real name, Anna Kovitzka.</p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
